comment,author,date,num_likes
"고딩엄빠 시즌1 정주행👉 <a href=""https://youtu.be/ieUs3pvon1Q"">https://youtu.be/ieUs3pvon1Q</a>",고딩엄빠,2022-10-26T06:14:44Z,2
아니 왜 4개월까지 모르냐고 4달동안 생리를 안 하는데 왜 몰라 성교육을 너무 안 하는 거 아니냐 기본적으로 성관계하면 나이가 몇 살이던 가임기 체크 생리주기 체크는 하자 생리가 불규칙적이면 경구피임약을 먹던 콘돔을 끼던 해야지 휴,임혜린,2022-10-12T19:29:58Z,2
제발 이 방송 미성년자의 임신과 출산을  이렇게 핑크빛으로 미화해서 하는 거 그만 해요<br>TV에서 만이라도 삶은 현실이고 책임 질 게 상상 이상으로 많다는 걸 알게 해줘야죠!!!,으잉?,2022-10-09T20:32:00Z,3
피임교육좀 제대로 해라,Be Berry Good,2022-09-24T13:26:32Z,1
하 시발 존잘이네,아기야옹이,2022-09-05T05:53:48Z,2
존나 멍청한게 생리 뻔히 하는 성인여자가 피임도 안했으면서 임신안될꺼라고 생각하는데 미친거 아닌가 !? 테스트기 친구랑 같이하는것도 개 대박임,ANG 。,2022-09-03T14:29:49Z,8
오우 남주 배우인가여?,뽀롱뽀롱뽀뽀뽀,2022-09-01T03:52:14Z,1
지 몸도 간수 못하는 불량 청소년들 이었구만.,김쌤,2022-08-30T06:48:38Z,1
근데 왜 피임을 안하지?ㅠ.ㅠ심각하네요. 사고쳐서 누구고생시킬려고,응쿨tv,2022-08-18T04:09:58Z,4
이거 걍 드라마임? 아님 실화를 바탕으로?,hyanggi,2022-08-12T05:21:04Z,2
이거. 실화를 바탕으로 하는 거예요,귤사랑,2022-09-28T05:03:56Z,1
애기가 너무 귀여울 것 같아,달리는라이더,2022-08-08T12:54:17Z,2
남주 진짜 미치도록 잘생겼다 ㅜ🥰,현아,2022-08-07T14:43:27Z,15
고등학생이 임신을 한다는 방송<br>좋은것 같지않다<br>그나이에누 배우고 청춘을<br>좀더 알아야한다<br><br>그 나이에 부모가되고 가정을<br>가진다는건<br>그 나이에때에 누려야할<br>인생의 첫 관문인 희망과 꿈을<br>이루는 노력에서 오는 성취감등<br>을 잃어버리고<br><br>가장이라는 부담감잉짓누르다보면<br>정신적으로 너무 <br>학생들이 감당하기엔  너무 큼,리치,2022-07-18T06:27:03Z,20
이런방송싫다청소년들부추기는것같다.결국부모님들의감당해야할몫,서필녀,2022-07-16T04:07:58Z,12
