comment,author,date,num_likes
이런방송 왜하는지<br>고등학생들이 임신하는게 맞는지<br>예쁘고 한창 배워야할 시기에<br>마침 이래도 된다는듯 영상을 자주 내보내면 될까요?<br>어른들도 힘든데 러브스토리요 <br>넘 아이들을 상품화하지마세요<br>한생명을 잉태하고 태어나서 기르려는 책임감이 동반되어야합니다,h.y kwon,2022-07-14T10:10:48Z,37
요즘은 고딩들이 성관계 하는게<br>너무 당연시 되는게 큰일이딘,이한희,2022-07-10T13:06:34Z,33
@의대드가자 ㅇㄴ ㅋㅋㅋ,奀같다 山山,2022-10-26T08:51:56Z,0
@실명제 아닙니다! 당신도 못햇잖아요!,의대드가자,2022-07-12T22:23:53Z,5
@의대드가자 님은 못한거..읍읍..,실명제,2022-07-12T16:48:01Z,0
당연한게 아닙니다! 왜냐? 제가 안햇거든요 캬캬,의대드가자,2022-07-12T11:38:50Z,1
연애하는건 좋은데 제발 피임 좀 하자,한솔미,2022-07-06T10:36:55Z,50
여자만손해죠ㅠ,유리 정,2022-07-04T09:06:18Z,12
근데왜학생들은피임을안하는거야ㅡㅡ,쪼막디,2022-07-04T08:16:23Z,17
@Park Haewon 성인이아니니까하는소리죠ㅡㅡ그리고안타까워서하는소리죠,쪼막디,2022-08-06T12:16:03Z,1
성인도 잘 안하는데 애들을 탓할 수는 없지,Park Haewon,2022-08-06T12:11:14Z,1
개한심하네. 공부하기 싫으면 알바나 할것이지 ㅉ,헤헤헤,2022-07-03T07:10:18Z,0
여주가 고딩치고 너무 나이 먹으신 분 같은데..,광주회잡이,2022-07-01T16:17:25Z,58
아줌마네,도로불편러,2022-07-24T00:20:54Z,1
"<a href=""https://www.youtube.com/watch?v=AmN0TLyjss4&amp;t=15m43s"">15:43</a> 어기노래뭥<br>ㅁ.?",과몰입녀,2022-07-01T12:35:27Z,0
10대들 러브스토리에..4~50대 어른들이 참 재밌게 보는척하는것같아요😅,그때가좋았지,2022-07-01T04:14:29Z,37
재밌으니까 재밌게보시는거아닐까요^^,밍갱,2022-10-02T06:21:35Z,0
@M 엠씨들 얘기한거예요~,그때가좋았지,2022-08-30T22:42:58Z,0
보는척이요?^^ 자녀들이 대부분 이 나이때라서 관심이 있죠,M,2022-08-30T16:50:06Z,0
"<a href=""https://www.youtube.com/watch?v=AmN0TLyjss4&amp;t=13m53s"">13:53</a>~",맑은세상,2022-06-30T13:35:21Z,0
공개적으로나와서핑계를대던 나와,박성민,2022-06-30T11:50:23Z,1
콩팥을팔아서돈을줄순없지만마음이썩었네,박성민,2022-06-30T11:49:08Z,0
내가지금고등학생이면 아침에운동삼아신문돌리고 편의의점알아등등현장도쓰는일많고,박성민,2022-06-30T11:47:08Z,2
저따위루,박성민,2022-06-30T11:45:16Z,0
남자가 아이돌 얼굴 이네....ㅋㅋ 이딴 방송 폐지 안하냐?? 고딩이 임신을 했어도 결혼만 하면 책임이 있는것? 잘한짓이 라는게 웃길 뿐이다 ㅋㅋㅋㅋㅋ,nct127이태용,2022-06-30T01:02:54Z,45
이렇게 상황극해서 옛날 얘기 해주고 현재 다큐보여줍니다.. 유튜브라서 잘린거에요..!,은수,2022-08-18T17:45:33Z,0
"캐나다는 저렇게 해서 고등학생때 애낳은 애들이 많던데…현실은 한 2,3년 길어야 그만큼만 살다가 헤어지더라.. 결국에 애는 그들의 부모가 키우고..모두가 다 그렇다 할 수는 없지만 가정에 대한 그리고 부모로서의 책임감을 가지기에는 너무 어린나이인듯. 각 나이마다 어울리는 삶과 경험이 있으니 그걸 놓치지 않았으면 좋겠다.",캐나다애플Applenails,2022-06-29T13:27:37Z,105
"아이도 불쌍하지만,  본인들이야 젊어서 다른 삶을 살러 간다지만,  자식의 애를 맡아 키우는 부모는 무슨 잘못일까요.",서강빈,2022-09-25T03:50:43Z,0
"​@angel J 오히려 우리나라가 비정상적인 거임<br>이미 남자한테나 여자한테나 결혼제도는 너무 부담만 되는 족쇄인데<br>굳이 결혼해서 애들 30살 되도록 캥거루로 키워가며 노후 준비도 못하고..<br><br>우리나라도 미국, 캐나다, 유럽처럼 16살때부터 면허 딸 수 있게 해주고, 알바 시작하면서 지가 알아서 진로 찾게 하고<br><br>18~22살쯤에 독립해서 서로 마음 맞는 상대랑 간단히 동거 시작하고 애도 낳고, 그러다 또 틀어지면 각자 갈길 가다가 또 새 사람 만나고<br><br>그래야 부모세대 노후준비 / 출산율 다 잡을 수 있음",센먀락,2022-09-18T16:18:27Z,0
ㄷ@안희경 .,김민이,2022-08-20T05:31:17Z,0
맞아요..나도 여러명봤음!! 아이가 불쌍한거죠~,angel J,2022-07-03T01:21:40Z,7
주변에 봤네요,안희경,2022-07-01T22:37:55Z,4
추대디 멋잇다잉...,기요미,2022-06-29T12:00:43Z,11
여기 남주 진짜 잘생겼다...,hyelim,2022-06-29T07:36:28Z,57
안잘생겼는데 얼굴이너무길은데,이경희,2022-06-29T11:06:52Z,0
사랑과 전쟁 인줄알았네,만화로 보는 이야기,2022-06-29T05:48:10Z,12
제발 학교에서 성교육 제대로 시켜라 애들을 민주 어쩌니 풀어놓고 그 책임은 누가 지키나  어 휴,콩새,2022-06-29T03:58:59Z,64
시켜요. 시킨다고 듣는 시대도 아니구요,수수꽃다리,2022-07-12T02:00:48Z,2
진보교육감들이 이런 현상을 조장했죠.,K마리아,2022-07-04T13:15:54Z,1
