comment,author,date,num_likes
나도  세례는안받았지만<br>교회 20년가까이 다녔었다(지금은 안다니지만)  나도 초등학생때  잘해주는  선생님있었고  어찌 연락이닿아서  난중2때였고 그쌤은 병장?이였어서  편지주고받고  교회다닐때도  내가 엄청쫒아다녔는데   그쌤은  적정한거리를두더라   이부부보니  생각나긴했는데  왜그랬는지  알겠고<br><br>와이프가  막내 시댁에맡기고 일이라도해라<br>첫째가초등학생이면 돈들어갈일 많은데<br>줄줄이 돈들어가고  에효 갑갑하네,송씨남매맘,2022-11-24T06:59:59Z,0
존나 이건 아니지,Kang111,2022-11-24T06:49:03Z,12
야이씨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ내가 지금 25살인데 15살 남자애가 ㅋㅋㅋ성인으로 보일수도 있나?라고 상상해봤는데 할말하않.. 막말로 당장 20살 21살도 마냥 애기로 보이는데...;;; 어이없네;;;; 아 화난다ㅜㅜ,ᄋᄉᄋ,2022-11-24T06:23:10Z,120
분명 성범죄인데 저렇게 포장하네. 시청률 올릴라고 환장했네. 예수가 아니라 조두순을 신봉하는 변태들 신났네,bc a,2022-11-24T05:38:46Z,3
교회오빠가 왜 그래.. 게다가 아빠가 목회잔데……. ㅠㅠ 사귀더라도 본인은 20대 후반 성인인데 피임은 제대로 했어야죠 왜 그래요.. 후.. <br>열불남,Ruda1217,2022-11-24T04:00:51Z,24
양아치와 스승과 교회오빠는 하니다.,SOW,2022-11-30T08:37:43Z,1
이거 방송 봤는데 너무 이쁘게 살던데 욕이 너무 많아서 안타깝네요 ㅠ 아이들만 봐도 부모가 사랑으로 키운 티 나고 능력만 없다뿐이지 능력 좋고 인성 안된것보다 훨씬 보기 좋았던 편이네요,밤하늘에별빛,2022-11-24T03:59:02Z,5
@히헤 하호 ㅋㅋㅋㅋㅋ 아 사회생활 가능하신가요? 오래 지난 과거랑 하루랑 같다고 생각하시는지 정신승리 하세요 ㅋㅋㅋㅋㅋㅋ 더 말 안해봐도<br>알꺼 같네요 풉 ㅋㅋㅋㅋㅋㅋ,밤하늘에별빛,2022-11-29T06:21:03Z,0
@히헤 하호 편드는건 좋은데 말장난 식으로 하지마세요 저분이 먼저 영상에 남자분 십년이나 지난 일로 악플 써서 전 거의 십년이 지난일로 지금와서 지적하지 말라고 한거에요 제가 악플을 썻나요? 저분이 제 댓글에 악플을 쓴거지? 반대 의견이라고 하기엔 자식 잘못 되길 기도하는 악담을 쓰는데 님은 뭔데 현명한척 자꾸 태클이신지????,밤하늘에별빛,2022-11-26T19:02:14Z,0
@히헤 하호 송초코송송이 영상에 남자분한테 십년이나 지난 일로 악플 쓰셔서 지나간 잘못 지적하지 말라고 한겁니다,밤하늘에별빛,2022-11-26T18:55:30Z,0
@히헤 하호 가족 들먹이면 본인 가족도 들먹여져야죠 받은만큼만 돌려줍니다,밤하늘에별빛,2022-11-25T14:08:14Z,0
@밤하늘에별빛 아줌마 결과가 어딜봐서 좋은건가요?? 또 또 쿨병마냥 쿨하게 넘길려고 하니 남편은 39살에 퇴직하고 여유가 있는 집안도 아닌데 5명이나 낳고 현재 1~2달이 맥스로 퇴직금으로 생활하면 끝이고 취업도 잘안된다며요 ㅎㅎ 가난으로 인한 애들은 어떡해요 1명도 버거운 부부같은데 5명이라니 이게 결과가 좋다고 한다면 본인  교육이 덜받은듯.. <br>20대 지나가던 직장인이 씁니다^^,huha,2022-11-25T00:19:32Z,2
